responseId,start_time,end_time,claim,prestance,condition,see_t,see_f,see_m,see_e,share_t,share_f,share_m,share_e,poststance,yearborn,gender,poli,ethnicity
1,07/02/2018 04:51:38 PM,07/02/2018 05:30:54 PM,4,0,5,2,1,-1,-2,-2,-1,1,2,2,2,1,1,1|4
2,07/02/2018 05:33:40 PM,07/02/2018 05:36:36 PM,7,1,5,1,1,1,2,2,2,1,2,1,18,1,3,1
3,07/02/2018 05:33:41 PM,07/02/2018 05:34:15 PM,4,1,5,1,2,1,-1,-1,1,-1,-1,1,11,2,2,1
4,07/02/2018 05:33:44 PM,07/02/2018 05:34:47 PM,9,1,1,1,1,2,2,1,1,2,2,1,12,2,2,3
5,07/02/2018 05:33:49 PM,07/02/2018 05:37:17 PM,2,0,5,-1,1,-1,1,1,1,-1,1,0,8,1,3,3
6,07/02/2018 05:33:50 PM,07/02/2018 05:37:19 PM,5,1,3,1,-1,-1,1,2,1,1,1,1,9,1,4,4
7,07/02/2018 05:33:52 PM,07/02/2018 05:34:39 PM,4,0,6,1,-1,1,-1,1,2,-1,1,1,16,1,2,2
8,07/02/2018 05:33:53 PM,07/02/2018 05:35:35 PM,4,-1,3,-1,-1,-1,1,-1,-1,-1,1,-1,1,2,3,3
9,07/02/2018 05:33:54 PM,07/02/2018 05:36:58 PM,7,2,5,2,1,1,1,1,1,1,1,1,14,2,2,4
10,07/02/2018 05:33:56 PM,07/02/2018 05:34:54 PM,4,2,1,2,1,2,1,2,1,2,1,2,18,2,2,3
11,07/02/2018 05:33:56 PM,07/02/2018 05:36:36 PM,2,0,3,1,-1,1,-1,-1,-1,-1,-1,0,13,1,1,1
12,07/02/2018 05:33:57 PM,07/02/2018 05:35:43 PM,8,1,2,1,1,1,-1,1,1,1,1,1,14,2,2,1
13,07/02/2018 05:33:57 PM,07/02/2018 05:37:10 PM,8,0,3,1,1,-1,-1,1,1,1,1,1,17,1,2,1
14,07/02/2018 05:33:59 PM,07/02/2018 05:36:09 PM,6,-1,4,-1,-1,-2,-1,-1,-1,-2,-2,-1,1,2,2,1
15,07/02/2018 05:34:05 PM,07/02/2018 05:36:00 PM,5,1,1,-1,1,-1,-1,-1,-1,1,-1,1,9,2,3,2
16,07/02/2018 05:34:12 PM,07/02/2018 05:35:14 PM,8,0,4,1,-1,-1,1,-1,1,-1,1,1,6,2,2,4
